customer_id,customer_first_name,customer_last_name,customer_revenue
9639,Mary,Smith,4299.68
5897,Mary,Griffin,4279.61
6316,Kyle,Smith,3679.55
9056,Andrew,Smith,3559.7
5004,Dorothy,Friedman,3519.55
11689,Samantha,Parker,3440.75
5146,Harry,Graves,3434.75
898,Cheryl,Smith,3369.75
5582,Gloria,Larson,3359.52
10235,Joseph,Singh,3289.62
11931,Elizabeth,Howell,3269.62
5821,Jessica,Humphrey,3265.62
5283,Jacob,Guerrero,3251.71
3574,Mary,Smith,3219.71
5624,Mary,Mata,3159.68
3763,Mary,Martinez,3149.6
4320,Jordan,Taylor,3111.68
10175,Michael,Gibson,3099.68
11426,Mary,Smith,3079.66
11382,Richard,Gordon,3079.65
12431,Mary,Rios,3079.65
4249,Mary,Butler,3054.54
8314,Angela,Walsh,3049.74
7910,Mary,Camacho,3027.6
5054,Paul,Thomas,3009.72
12357,Harry,Smith,3004.73
10591,Deborah,Humphrey,2974.88
5311,Mary,Smith,2959.55
9552,Richard,Wilkerson,2939.65
5493,Mary,Cochran,2939.62
542,Mary,Smith,2934.7
2774,Sandra,Smith,2934.62
1544,Brittany,Marquez,2929.66
3297,Bryan,Lewis,2929.61
4200,Ralph,Campbell,2919.8
5033,Mary,Smith,2909.8
5549,Kathryn,Smith,2909.71
3977,Mary,Smith,2909.7
4930,Mary,Preston,2904.69
10351,Teresa,Gray,2879.73
6950,Nicholas,Smith,2879.65
7940,Mary,Mejia,2874.61
2464,Teresa,Warner,2869.82
6904,Mary,Smith,2839.62
7670,Anna,Smith,2834.59
9603,Mary,Moore,2829.83
2683,Mary,Gallegos,2829.73
4435,George,Cross,2819.68
5563,Paul,Trevino,2809.86
791,Mary,Smith,2809.71
8652,Kenneth,Newman,2799.72
8613,Mary,Kirk,2789.74
2844,Robert,Smith,2789.68
6049,Patricia,Smith,2779.75
637,Mary,Smith,2769.68
221,Mary,Cox,2759.69
5648,Joshua,Smith,2757.42
8015,Mary,Blackburn,2754.76
3708,Judy,Miller,2754.64
7327,Tammy,Hood,2749.76
11645,Mary,Ward,2749.74
5204,Andrew,Smith,2739.76
630,Jacob,Smith,2739.72
11316,Jonathan,Keith,2734.66
1920,Stephanie,Archer,2729.71
7160,Mary,Allen,2729.7
8517,Debra,Smith,2729.59
3530,Mary,Smith,2729.57
7857,Jean,Bentley,2719.76
2907,Russell,Maddox,2719.69
4596,Mary,Burns,2719.66
6587,Heather,Henson,2709.76
174,Mary,Perez,2705.8
5644,Carl,Horn,2699.72
5236,Jessica,Roberts,2699.63
4457,Roger,Smith,2699.6
7830,Christina,Carroll,2697.68
5454,Mary,Smith,2694.74
1658,Dylan,Conner,2693.81
2469,Shawn,Smith,2689.59
1932,Shirley,Perez,2679.79
1651,Stephanie,Smith,2679.78
8963,Ruth,Bush,2674.74
8167,Betty,Roberts,2669.76
6499,Ashley,Peterson,2659.77
8024,Christopher,Smith,2659.72
9736,Mary,Hamilton,2659.72
6393,Mary,Smith,2659.71
12284,Mary,Smith,2659.69
1826,Matthew,Smith,2659.59
12334,Michael,Robertson,2654.65
2444,Kenneth,Smith,2649.7
9260,Joyce,Smith,2647.73
1011,Mary,Smith,2625.57
7333,Julia,Smith,2619.73
6229,Mary,Smith,2619.71
4904,Bruce,Smith,2614.66
11833,Mary,Weaver,2609.8
11985,Jennifer,Moss,2604.72
11574,Mary,Guzman,2599.82
12107,Sharon,Patterson,2599.81
9779,Mary,Smith,2599.79
12335,Mary,Riley,2599.72
10699,Mary,Lee,2594.67
9291,Charles,Mueller,2589.84
6977,Mary,Short,2589.8
8892,Russell,Dennis,2589.72
5491,Sharon,Smith,2589.69
437,Cynthia,Benjamin,2589.66
5600,Helen,Smith,2589.61
6101,Mary,Smith,2579.8
1365,Evelyn,Smith,2579.74
7802,Mary,Acevedo,2579.68
548,Ryan,Horton,2577.72
5640,Matthew,Smith,2577.67
731,Robert,Smith,2575.72
11962,Diana,Smith,2569.82
6591,Lauren,Smith,2569.8
744,Gary,Hodges,2569.71
3161,Barbara,Arias,2564.73
679,Grace,Smith,2564.7
3302,Terry,Smith,2559.68
2169,Betty,Ayala,2557.8
3296,Mary,Smith,2554.78
2384,Mary,Mays,2554.71
2381,Betty,Smith,2549.81
6342,Kimberly,Blair,2549.79
6750,Alan,Smith,2549.79
5657,Mary,James,2549.7
6319,Mary,Merritt,2539.75
5654,Jerry,Smith,2539.73
19,Stephanie,Mitchell,2537.66
8135,Mary,Stevens,2537.59
2549,Stephanie,Smith,2534.79
1558,Mary,Smith,2531.73
3544,Danielle,Smith,2529.75
6023,Shirley,Webb,2529.7
9096,Mary,Andrews,2524.75
6913,Jeremy,Zamora,2519.8
3635,Catherine,Flowers,2519.67
7200,Katherine,Smith,2519.57
8666,Mary,Smith,2517.59
2078,Roger,Morales,2511.8
2851,Mary,Huffman,2511.66
5173,Mary,Smith,2509.8
5298,Lisa,Moore,2509.76
6248,Ronald,Hanson,2509.73
6285,Mary,Garcia,2509.68
2608,Madison,Dunn,2509.67
9107,Mark,Nunez,2507.69
7829,Raymond,Smith,2506.66
3710,Ashley,Smith,2504.72
569,Mary,Frye,2502.72
8499,Angela,Smith,2501.64
827,Tyler,Smith,2499.78
6649,Mary,Smith,2499.75
3554,Michael,Smith,2499.68
7177,Keith,Wong,2499.61
4517,Mary,Cline,2494.8
8926,Susan,Smith,2489.8
3655,Karen,Conway,2489.74
3813,Andrew,Smith,2489.74
4278,Andrew,Smith,2489.6
3658,Mary,Weiss,2484.71
4186,Joseph,Smith,2479.84
950,Jordan,Smith,2479.81
10829,Anthony,Smith,2479.73
12432,Angela,Smith,2479.67
10765,Mary,Byrd,2479.66
1540,Mary,Mckee,2469.85
10589,Mary,Smith,2469.79
3083,Timothy,Lee,2469.79
1024,Paul,Alvarado,2469.7
534,Mary,Morris,2468.76
9721,Mary,Smith,2464.83
9554,Mary,Hayes,2463.76
1025,Megan,Todd,2463.73
10500,Mary,Smith,2459.82
6307,Gregory,Smith,2459.72
3926,Ann,Allison,2455.7
